age,signup_channel,device_type,location,browsing_time_minutes,referral_code_used,cart_value,recommended_discount
25,Email,Tablet,Metro,9,1,1508,0
52,Ads,Mobile,Urban,20,0,642,5
31,Referral,Desktop,Rural,7,0,1398,5
34,Email,Desktop,Rural,0,1,1082,5
53,Email,Mobile,Metro,6,0,1433,0
57,Ads,Tablet,Urban,17,0,1029,5
21,Ads,Mobile,Rural,2,0,1255,15
19,Email,Mobile,Rural,0,0,1811,5
23,Email,Desktop,Metro,3,0,915,0
59,Referral,Mobile,Rural,4,1,148,10
21,Email,Tablet,Urban,3,1,543,0
46,Email,Mobile,Rural,1,0,984,5
35,Referral,Desktop,Urban,2,0,271,0
43,Social,Tablet,Urban,11,0,1029,0
51,Referral,Desktop,Metro,4,0,1089,0
27,Referral,Mobile,Rural,10,0,1947,5
53,Ads,Mobile,Metro,7,0,1453,15
31,Referral,Desktop,Rural,7,0,105,5
48,Email,Desktop,Metro,2,0,1711,0
32,Email,Tablet,Metro,7,1,1327,0
25,Email,Desktop,Metro,0,1,468,10
31,Social,Desktop,Rural,5,0,993,5
40,Email,Mobile,Metro,8,1,821,0
57,Social,Mobile,Urban,2,0,1671,0
38,Email,Desktop,Rural,2,0,1030,5
33,Referral,Desktop,Urban,2,1,380,10
35,Ads,Mobile,Metro,0,1,1812,15
41,Email,Tablet,Metro,4,0,1178,0
43,Social,Tablet,Urban,38,0,1292,5
42,Social,Tablet,Metro,4,1,1436,0
58,Ads,Tablet,Rural,6,0,1017,15
46,Email,Mobile,Urban,10,0,1601,0
32,Referral,Desktop,Rural,10,1,527,5
18,Email,Tablet,Rural,29,0,1635,5
42,Email,Mobile,Rural,19,0,512,5
24,Ads,Desktop,Metro,15,1,938,15
26,Email,Tablet,Metro,30,0,147,5
41,Referral,Desktop,Urban,2,0,1739,0
18,Social,Tablet,Urban,9,0,1126,0
25,Ads,Desktop,Rural,21,0,1720,5
41,Referral,Tablet,Metro,9,0,784,0
28,Social,Tablet,Metro,37,0,887,5
34,Ads,Desktop,Metro,1,0,428,15
25,Ads,Desktop,Urban,5,0,332,15
52,Social,Desktop,Metro,37,0,1799,5
52,Social,Mobile,Rural,4,0,159,5
50,Referral,Mobile,Rural,13,0,689,5
22,Email,Desktop,Rural,0,0,629,5
59,Email,Mobile,Metro,11,0,1220,0
56,Email,Tablet,Rural,27,0,1189,5
58,Email,Desktop,Rural,4,1,1154,5
45,Email,Mobile,Urban,0,1,1081,0
24,Referral,Desktop,Urban,0,0,1873,0
26,Ads,Tablet,Metro,22,0,876,5
25,Referral,Tablet,Metro,12,0,247,0
29,Referral,Mobile,Metro,1,0,1783,0
51,Referral,Tablet,Metro,0,0,146,0
50,Ads,Desktop,Metro,16,0,1367,5
40,Referral,Mobile,Urban,16,0,1380,5
41,Referral,Desktop,Urban,1,1,1601,0
54,Ads,Desktop,Urban,3,0,1718,15
52,Referral,Desktop,Rural,15,1,455,10
57,Email,Tablet,Rural,7,0,753,5
39,Social,Desktop,Urban,31,0,1764,5
44,Referral,Tablet,Urban,6,0,552,0
52,Social,Desktop,Metro,11,1,621,0
18,Referral,Tablet,Urban,7,0,276,0
52,Referral,Tablet,Metro,28,0,1055,5
54,Email,Tablet,Urban,5,0,309,0
31,Ads,Desktop,Metro,2,1,1165,15
20,Social,Desktop,Urban,3,0,1247,0
18,Ads,Tablet,Metro,19,0,286,5
22,Email,Desktop,Rural,6,1,1148,5
43,Email,Tablet,Rural,4,0,1287,5
31,Social,Desktop,Metro,7,0,1986,0
56,Ads,Tablet,Metro,1,0,1105,15
44,Email,Tablet,Rural,0,1,134,10
26,Referral,Mobile,Urban,3,0,1376,0
32,Referral,Desktop,Metro,9,0,574,0
32,Referral,Desktop,Urban,12,1,858,0
43,Ads,Mobile,Rural,17,0,569,5
59,Referral,Tablet,Rural,26,1,1006,5
30,Referral,Tablet,Metro,5,0,621,0
49,Email,Mobile,Urban,13,0,363,0
56,Email,Mobile,Rural,0,0,1228,5
49,Referral,Tablet,Urban,0,1,1343,0
21,Referral,Desktop,Rural,1,0,866,5
47,Email,Mobile,Metro,5,0,506,0
54,Social,Mobile,Urban,2,0,745,0
40,Ads,Mobile,Urban,3,1,1329,15
56,Ads,Mobile,Metro,10,0,735,15
32,Email,Mobile,Metro,4,0,1339,0
46,Ads,Mobile,Metro,8,1,163,10
53,Email,Tablet,Metro,5,1,1068,0
30,Email,Tablet,Rural,1,0,913,5
49,Email,Mobile,Urban,0,1,971,0
24,Email,Tablet,Rural,2,0,137,5
39,Social,Desktop,Metro,0,0,859,0
45,Referral,Desktop,Rural,9,0,764,5
19,Referral,Mobile,Rural,15,0,321,5
59,Social,Desktop,Urban,4,1,1465,0
23,Ads,Desktop,Urban,4,1,869,15
45,Ads,Tablet,Urban,16,0,572,5
45,Referral,Tablet,Metro,2,1,1659,0
37,Ads,Tablet,Metro,1,0,456,15
47,Referral,Tablet,Urban,6,0,1629,0
28,Referral,Desktop,Rural,10,1,678,5
45,Social,Mobile,Urban,9,1,1884,0
42,Ads,Tablet,Metro,12,0,334,15
56,Social,Desktop,Rural,0,0,701,5
50,Referral,Tablet,Metro,5,0,193,0
18,Referral,Desktop,Urban,2,0,960,0
44,Referral,Tablet,Urban,14,0,938,0
30,Email,Mobile,Rural,20,0,288,5
58,Email,Tablet,Urban,3,0,748,0
20,Email,Mobile,Metro,1,1,1808,0
56,Social,Tablet,Metro,2,0,115,0
23,Referral,Tablet,Metro,1,0,1498,0
25,Ads,Tablet,Rural,3,1,463,10
44,Social,Desktop,Metro,7,0,843,0
26,Social,Desktop,Urban,36,1,1521,5
54,Social,Mobile,Rural,5,0,509,5
50,Ads,Mobile,Metro,2,0,273,15
59,Referral,Desktop,Metro,1,0,1736,0
41,Email,Mobile,Urban,1,0,285,0
32,Referral,Mobile,Urban,2,0,1153,0
49,Referral,Desktop,Rural,14,0,569,5
49,Social,Desktop,Metro,0,0,1503,0
41,Social,Desktop,Metro,59,0,411,5
58,Social,Desktop,Urban,7,0,1985,0
29,Email,Tablet,Rural,7,1,899,5
56,Email,Desktop,Urban,4,1,1201,0
19,Email,Mobile,Urban,11,1,634,0
20,Referral,Tablet,Rural,6,0,628,5
54,Social,Tablet,Metro,3,0,221,0
34,Ads,Mobile,Metro,3,0,327,15
19,Referral,Tablet,Metro,25,1,1088,5
19,Email,Mobile,Rural,3,0,1531,5
45,Ads,Tablet,Rural,5,0,1298,15
40,Ads,Tablet,Rural,4,0,652,15
54,Social,Mobile,Rural,0,0,114,5
49,Ads,Mobile,Rural,2,0,313,15
50,Email,Mobile,Urban,2,1,702,0
18,Social,Mobile,Metro,11,1,151,10
36,Ads,Desktop,Rural,5,0,1029,15
19,Social,Desktop,Metro,15,0,1439,0
43,Ads,Mobile,Rural,12,0,156,15
49,Referral,Desktop,Metro,2,0,1412,0
23,Referral,Mobile,Urban,8,1,1272,0
49,Email,Mobile,Metro,13,0,507,0
21,Referral,Tablet,Metro,10,1,631,0
28,Referral,Mobile,Rural,9,0,1492,5
34,Referral,Mobile,Metro,13,0,1447,0
55,Ads,Mobile,Urban,0,0,1736,15
41,Ads,Mobile,Urban,13,1,456,10
22,Social,Tablet,Urban,3,0,799,0
51,Ads,Mobile,Rural,8,1,1553,15
23,Referral,Tablet,Rural,2,1,1156,5
39,Ads,Mobile,Rural,18,1,1666,5
28,Email,Tablet,Rural,6,1,773,5
33,Social,Desktop,Rural,10,0,1913,5
50,Social,Tablet,Urban,15,0,973,0
26,Ads,Tablet,Metro,22,0,1409,5
23,Referral,Mobile,Urban,13,0,616,0
33,Social,Tablet,Rural,1,1,780,5
46,Email,Tablet,Urban,19,0,1808,5
20,Email,Mobile,Metro,9,0,826,0
37,Social,Desktop,Rural,9,1,1952,5
53,Referral,Desktop,Urban,25,0,216,5
36,Referral,Desktop,Urban,2,0,866,0
43,Ads,Tablet,Metro,2,0,368,15
20,Ads,Mobile,Rural,7,1,1887,15
36,Social,Desktop,Rural,13,0,817,5
37,Ads,Desktop,Metro,5,1,820,15
49,Ads,Desktop,Metro,10,0,1286,15
24,Ads,Desktop,Metro,6,1,1909,15
58,Email,Mobile,Metro,9,0,239,0
50,Ads,Desktop,Rural,17,0,1804,5
57,Social,Tablet,Rural,1,0,243,5
56,Referral,Tablet,Urban,11,0,321,0
35,Ads,Mobile,Urban,15,0,880,15
57,Referral,Desktop,Urban,5,0,991,0
18,Ads,Desktop,Rural,3,0,687,15
28,Social,Tablet,Rural,0,1,729,5
45,Email,Mobile,Rural,15,0,1733,5
42,Social,Tablet,Urban,3,1,534,0
40,Email,Mobile,Metro,4,1,1668,0
48,Ads,Mobile,Metro,4,0,1577,15
47,Ads,Mobile,Metro,6,0,1973,15
59,Email,Tablet,Metro,12,0,1190,0
52,Social,Mobile,Metro,14,1,1945,0
24,Social,Tablet,Rural,4,1,1129,5
33,Email,Tablet,Urban,10,0,1927,0
43,Ads,Desktop,Metro,12,0,1364,15
19,Email,Tablet,Metro,3,0,1178,0
18,Ads,Tablet,Metro,1,1,482,10
29,Email,Desktop,Rural,22,1,533,5
22,Ads,Desktop,Metro,11,1,1593,15
54,Email,Desktop,Urban,10,0,1194,0
49,Referral,Mobile,Rural,0,0,1729,5
26,Ads,Mobile,Rural,17,1,1573,5
58,Social,Desktop,Rural,8,1,579,5
52,Email,Mobile,Metro,18,0,1266,5
36,Social,Desktop,Metro,36,0,121,5
33,Email,Mobile,Metro,31,0,660,5
20,Social,Tablet,Metro,19,1,1545,5
37,Social,Mobile,Urban,0,0,747,0
41,Email,Mobile,Rural,21,0,1515,5
50,Email,Tablet,Metro,0,0,1866,0
41,Social,Desktop,Urban,19,0,711,5
28,Social,Mobile,Rural,3,0,567,5
25,Social,Mobile,Rural,9,0,1416,5
53,Ads,Tablet,Rural,0,1,811,15
55,Ads,Tablet,Metro,14,0,945,15
57,Referral,Tablet,Rural,1,0,220,5
37,Ads,Tablet,Metro,5,0,838,15
52,Ads,Desktop,Urban,17,0,1561,5
42,Email,Mobile,Rural,11,0,850,5
52,Referral,Mobile,Urban,0,0,888,0
42,Referral,Mobile,Metro,5,0,1224,0
46,Ads,Mobile,Metro,0,1,994,15
35,Email,Desktop,Metro,11,1,1106,0
35,Email,Mobile,Rural,34,0,286,5
19,Referral,Desktop,Rural,10,1,1282,5
52,Email,Desktop,Urban,2,1,617,0
33,Social,Tablet,Metro,4,1,781,0
58,Ads,Tablet,Urban,37,0,1303,5
53,Social,Mobile,Metro,2,1,1554,0
50,Referral,Desktop,Metro,8,0,1335,0
21,Referral,Tablet,Urban,5,1,1100,0
50,Email,Desktop,Metro,14,0,1799,0
31,Email,Tablet,Urban,20,0,739,5
38,Referral,Desktop,Rural,4,0,1931,5
37,Referral,Mobile,Urban,10,1,829,0
25,Social,Mobile,Urban,7,1,752,0
24,Social,Desktop,Metro,3,0,532,0
20,Email,Tablet,Urban,3,0,743,0
34,Social,Tablet,Rural,7,1,1989,5
50,Email,Mobile,Rural,1,0,862,5
29,Email,Mobile,Rural,16,0,989,5
39,Ads,Mobile,Rural,0,1,200,10
39,Email,Tablet,Urban,0,1,419,10
47,Social,Tablet,Rural,4,0,1221,5
55,Referral,Mobile,Urban,1,0,947,0
55,Referral,Desktop,Urban,6,1,378,10
25,Social,Tablet,Metro,5,1,797,0
44,Referral,Mobile,Urban,12,0,1978,0
44,Email,Desktop,Urban,30,0,1266,5
51,Referral,Tablet,Metro,14,0,1468,0
38,Social,Desktop,Rural,1,1,1984,5
47,Referral,Desktop,Rural,27,0,455,5
50,Email,Tablet,Urban,4,0,994,0
45,Email,Mobile,Metro,6,0,1714,0
50,Social,Desktop,Urban,5,0,968,0
22,Social,Mobile,Urban,3,0,1478,0
36,Social,Tablet,Rural,22,0,529,5
21,Ads,Desktop,Metro,4,0,1162,15
52,Ads,Desktop,Urban,8,0,1426,15
34,Email,Desktop,Rural,2,0,1672,5
45,Ads,Desktop,Urban,15,1,524,15
47,Ads,Desktop,Rural,14,0,1471,15
46,Referral,Tablet,Metro,3,1,528,0
23,Ads,Desktop,Urban,11,0,1409,15
52,Referral,Tablet,Metro,12,0,554,0
58,Social,Mobile,Rural,8,0,1447,5
54,Referral,Tablet,Metro,9,1,618,0
41,Referral,Desktop,Metro,8,0,1476,0
46,Social,Mobile,Metro,0,0,1938,0
48,Social,Tablet,Urban,11,0,1426,0
52,Email,Tablet,Rural,6,0,309,5
50,Email,Tablet,Metro,5,0,690,0
38,Email,Desktop,Urban,19,1,993,5
49,Email,Desktop,Rural,0,0,966,5
40,Referral,Tablet,Rural,2,0,1992,5
50,Referral,Tablet,Rural,1,1,543,5
20,Email,Mobile,Metro,0,0,1256,0
35,Ads,Desktop,Metro,3,0,275,15
42,Email,Desktop,Metro,44,0,1210,5
59,Ads,Mobile,Rural,3,0,860,15
48,Social,Tablet,Rural,10,0,1581,5
20,Referral,Tablet,Metro,1,0,316,0
57,Referral,Mobile,Metro,9,1,1529,0
41,Ads,Tablet,Rural,41,0,962,5
49,Email,Tablet,Rural,3,1,1530,5
39,Referral,Mobile,Urban,18,0,703,5
40,Ads,Mobile,Urban,60,0,1552,5
19,Social,Mobile,Metro,8,0,1842,0
44,Social,Tablet,Rural,3,0,1355,5
59,Referral,Mobile,Rural,11,0,919,5
19,Email,Tablet,Urban,18,0,1834,5
43,Ads,Desktop,Rural,1,1,1553,15
34,Referral,Desktop,Metro,6,1,1161,0
57,Social,Mobile,Urban,3,0,523,0
50,Email,Tablet,Rural,3,1,1522,5
26,Ads,Tablet,Rural,19,1,980,5
56,Referral,Tablet,Metro,5,0,1064,0
46,Ads,Mobile,Rural,4,0,1007,15
59,Email,Tablet,Urban,9,1,1712,0
43,Email,Tablet,Urban,2,0,678,0
52,Social,Tablet,Rural,2,1,284,10
42,Email,Desktop,Rural,7,0,1500,5
41,Referral,Tablet,Rural,5,0,374,5
30,Ads,Desktop,Rural,3,0,701,15
24,Email,Tablet,Urban,0,1,1409,0
53,Email,Tablet,Metro,7,0,1471,0
37,Referral,Tablet,Urban,16,0,818,5
18,Ads,Desktop,Rural,19,0,629,5
25,Ads,Tablet,Rural,2,0,1112,15
33,Social,Mobile,Urban,9,0,855,0
31,Social,Tablet,Urban,19,0,1954,5
29,Ads,Desktop,Rural,5,0,106,15
40,Referral,Desktop,Urban,26,0,287,5
32,Referral,Mobile,Rural,23,0,1723,5
45,Social,Mobile,Urban,2,0,1239,0
51,Email,Mobile,Rural,2,0,598,5
19,Referral,Desktop,Urban,1,0,162,0
49,Email,Tablet,Rural,2,1,540,5
40,Referral,Tablet,Metro,23,0,1467,5
39,Ads,Mobile,Metro,26,0,686,5
42,Social,Mobile,Urban,0,0,478,0
39,Email,Tablet,Metro,9,0,394,0
39,Email,Mobile,Rural,8,0,1806,5
59,Ads,Tablet,Urban,4,0,1355,15
23,Referral,Tablet,Urban,9,1,539,0
32,Email,Tablet,Rural,29,1,493,10
54,Referral,Tablet,Rural,1,0,1883,5
50,Ads,Desktop,Rural,1,0,1998,15
25,Social,Tablet,Urban,0,1,836,0
22,Email,Mobile,Rural,4,0,1399,5
56,Referral,Mobile,Metro,4,0,973,0
21,Email,Mobile,Urban,5,0,803,0
23,Referral,Mobile,Rural,6,0,1290,5
49,Referral,Desktop,Urban,14,1,198,10
47,Referral,Tablet,Metro,4,0,982,0
52,Ads,Tablet,Metro,4,0,511,15
57,Social,Mobile,Rural,17,1,1351,5
33,Email,Mobile,Urban,18,0,513,5
30,Social,Mobile,Rural,2,0,413,5
59,Referral,Tablet,Urban,3,0,425,0
47,Referral,Desktop,Rural,17,0,1185,5
36,Social,Desktop,Rural,0,0,228,5
34,Social,Desktop,Urban,3,0,1885,0
36,Email,Desktop,Urban,5,1,1575,0
45,Referral,Mobile,Metro,2,1,1532,0
43,Social,Tablet,Metro,1,0,522,0
54,Ads,Mobile,Urban,5,1,750,15
43,Referral,Desktop,Metro,14,0,329,0
40,Referral,Mobile,Metro,18,0,1694,5
26,Email,Desktop,Urban,38,0,776,5
29,Ads,Tablet,Urban,0,0,1635,15
18,Email,Desktop,Urban,2,0,815,0
18,Ads,Mobile,Rural,14,0,709,15
51,Email,Tablet,Urban,7,1,437,10
49,Ads,Desktop,Urban,3,0,345,15
42,Ads,Desktop,Urban,2,0,1772,15
57,Ads,Tablet,Metro,3,0,657,15
18,Social,Mobile,Urban,5,0,303,0
33,Referral,Tablet,Metro,1,0,1004,0
56,Ads,Mobile,Rural,33,0,1316,5
22,Social,Desktop,Urban,1,0,1962,0
39,Social,Desktop,Urban,42,0,1482,5
46,Email,Tablet,Metro,18,0,1677,5
20,Referral,Desktop,Rural,5,1,773,5
29,Referral,Tablet,Urban,13,0,835,0
43,Email,Desktop,Rural,11,1,1377,5
33,Referral,Desktop,Rural,2,1,383,10
54,Email,Mobile,Urban,4,0,317,0
39,Social,Tablet,Rural,7,0,1735,5
46,Social,Tablet,Rural,10,0,672,5
31,Ads,Desktop,Urban,7,0,1675,15
45,Email,Mobile,Metro,6,0,281,0
22,Social,Mobile,Urban,5,0,1694,0
47,Social,Tablet,Rural,6,0,1073,5
22,Email,Tablet,Urban,5,0,1040,0
29,Social,Desktop,Metro,7,0,1346,0
33,Referral,Tablet,Rural,21,1,307,10
43,Social,Desktop,Rural,10,0,522,5
43,Email,Mobile,Metro,12,0,1293,0
38,Referral,Tablet,Metro,9,1,238,10
56,Referral,Mobile,Rural,10,1,302,10
53,Social,Mobile,Metro,8,0,353,0
50,Ads,Desktop,Urban,0,0,1289,15
47,Referral,Mobile,Metro,78,0,668,5
54,Email,Desktop,Urban,0,0,1758,0
40,Ads,Desktop,Rural,5,0,1519,15
27,Ads,Mobile,Rural,1,0,525,15
22,Referral,Mobile,Rural,1,0,1570,5
53,Social,Desktop,Rural,15,1,1629,5
51,Ads,Desktop,Rural,5,0,1260,15
48,Social,Mobile,Metro,16,0,1529,5
27,Referral,Desktop,Metro,3,1,1033,0
36,Email,Desktop,Rural,2,0,1068,5
49,Ads,Tablet,Metro,2,0,861,15
18,Email,Tablet,Metro,9,0,668,0
22,Social,Tablet,Rural,16,1,678,5
21,Social,Tablet,Metro,6,0,330,0
33,Email,Tablet,Rural,4,0,1094,5
41,Referral,Desktop,Rural,36,1,1367,5
33,Referral,Desktop,Rural,1,0,385,5
19,Ads,Tablet,Rural,6,1,1756,15
45,Ads,Mobile,Metro,5,1,1021,15
49,Referral,Tablet,Metro,1,0,153,0
44,Referral,Mobile,Urban,3,0,1923,0
37,Email,Desktop,Urban,0,1,889,0
41,Social,Mobile,Rural,20,0,1515,5
29,Social,Desktop,Urban,9,1,677,0
52,Ads,Mobile,Metro,16,0,1393,5
50,Referral,Desktop,Metro,7,0,488,0
50,Email,Desktop,Urban,9,0,1136,0
54,Ads,Tablet,Urban,12,0,442,15
29,Email,Desktop,Metro,23,0,1759,5
20,Referral,Tablet,Urban,0,0,1712,0
18,Referral,Tablet,Metro,4,0,438,0
50,Referral,Tablet,Metro,12,0,123,0
57,Social,Mobile,Urban,31,1,1158,5
27,Referral,Mobile,Urban,39,1,1959,5
46,Ads,Desktop,Rural,10,0,685,15
30,Social,Tablet,Rural,2,0,1609,5
29,Email,Tablet,Rural,1,0,521,5
48,Ads,Desktop,Rural,29,0,1413,5
19,Ads,Tablet,Rural,5,0,1413,15
52,Email,Desktop,Metro,2,1,1142,0
40,Social,Tablet,Urban,27,0,1894,5
34,Ads,Mobile,Metro,1,1,1751,15
43,Ads,Desktop,Rural,13,1,1415,15
25,Ads,Desktop,Rural,9,0,1895,15
46,Social,Mobile,Urban,0,0,477,0
43,Social,Desktop,Metro,4,0,1277,0
27,Social,Mobile,Rural,1,0,1838,5
43,Ads,Tablet,Rural,9,0,1766,15
51,Referral,Mobile,Rural,6,0,227,5
58,Email,Mobile,Rural,0,0,532,5
24,Referral,Desktop,Metro,37,0,876,5
21,Social,Tablet,Metro,4,0,913,0
28,Ads,Mobile,Rural,2,0,1393,15
46,Ads,Tablet,Metro,2,0,614,15
53,Referral,Mobile,Rural,1,0,1381,5
42,Referral,Desktop,Urban,70,0,1465,5
38,Email,Mobile,Urban,3,1,601,0
53,Ads,Mobile,Urban,5,1,1088,15
27,Referral,Tablet,Metro,20,0,516,5
54,Email,Mobile,Rural,10,0,199,5
26,Social,Desktop,Urban,4,1,1517,0
41,Referral,Desktop,Urban,22,0,978,5
52,Social,Mobile,Metro,13,0,1176,0
52,Email,Mobile,Metro,2,1,527,0
53,Social,Tablet,Urban,10,0,777,0
35,Ads,Tablet,Rural,25,0,248,5
56,Ads,Desktop,Rural,6,1,774,15
49,Social,Tablet,Rural,13,0,550,5
41,Ads,Mobile,Urban,35,1,1718,5
40,Email,Desktop,Metro,11,0,633,0
49,Ads,Tablet,Rural,1,0,631,15
54,Social,Desktop,Urban,2,0,967,0
29,Social,Mobile,Urban,9,1,822,0
30,Social,Tablet,Metro,3,0,1489,0
40,Referral,Mobile,Rural,31,0,1447,5
42,Social,Mobile,Urban,5,1,963,0
52,Email,Desktop,Rural,6,0,1643,5
58,Ads,Desktop,Rural,12,0,918,15
47,Ads,Desktop,Rural,7,0,1789,15
34,Referral,Tablet,Urban,4,0,1686,0
37,Referral,Tablet,Rural,0,1,345,10
42,Email,Desktop,Metro,9,0,1572,0
39,Social,Tablet,Urban,20,0,253,5
30,Referral,Tablet,Urban,11,0,345,0
36,Ads,Desktop,Rural,4,0,914,15
53,Referral,Mobile,Rural,1,0,1166,5
29,Referral,Tablet,Rural,16,0,492,5
58,Social,Tablet,Urban,28,1,262,10
36,Referral,Mobile,Metro,4,1,565,0
29,Email,Mobile,Metro,13,0,611,0
26,Ads,Mobile,Urban,5,0,1270,15
24,Social,Desktop,Metro,6,0,947,0
45,Ads,Mobile,Rural,18,0,1279,5
31,Email,Desktop,Urban,0,0,614,0
48,Email,Mobile,Metro,7,0,245,0
36,Referral,Mobile,Urban,2,0,1635,0
33,Referral,Desktop,Metro,4,0,1392,0
22,Referral,Desktop,Urban,10,1,1534,0
52,Ads,Mobile,Metro,0,0,1367,15
29,Email,Mobile,Urban,9,0,395,0
42,Social,Mobile,Urban,3,0,906,0
38,Referral,Tablet,Urban,11,0,413,0
53,Ads,Mobile,Urban,1,1,668,15
40,Referral,Desktop,Urban,13,0,379,0
33,Email,Tablet,Rural,10,1,576,5
56,Social,Desktop,Urban,35,0,1242,5
59,Email,Tablet,Urban,24,0,633,5
56,Ads,Tablet,Urban,3,0,1686,15
31,Referral,Desktop,Metro,0,1,573,0
48,Email,Tablet,Urban,10,0,311,0
22,Ads,Desktop,Rural,9,1,827,15
52,Referral,Mobile,Urban,0,0,687,0
40,Social,Tablet,Metro,1,0,1589,0
46,Email,Desktop,Metro,8,0,1839,0
28,Referral,Tablet,Urban,24,0,1289,5
35,Referral,Desktop,Urban,23,0,579,5
29,Referral,Mobile,Urban,1,1,1506,0
26,Referral,Mobile,Urban,4,0,160,0
27,Email,Tablet,Metro,0,0,1940,0
34,Referral,Tablet,Urban,6,0,1402,0
55,Ads,Desktop,Metro,13,0,871,15
24,Email,Desktop,Metro,15,0,687,0
30,Referral,Tablet,Rural,6,0,308,5
57,Email,Desktop,Metro,1,1,136,10
59,Ads,Desktop,Urban,4,0,704,15
26,Ads,Desktop,Urban,26,1,1257,5
44,Email,Tablet,Urban,2,0,1874,0
19,Referral,Mobile,Urban,3,0,511,0
22,Referral,Mobile,Rural,13,0,747,5
46,Ads,Desktop,Rural,13,1,834,15
54,Referral,Tablet,Rural,24,1,1271,5
55,Ads,Desktop,Rural,4,0,1011,15
36,Referral,Mobile,Metro,7,0,1520,0
25,Ads,Desktop,Rural,6,0,1375,15
18,Social,Mobile,Metro,26,1,1626,5
39,Referral,Tablet,Urban,14,1,606,0
34,Referral,Desktop,Metro,17,0,1714,5
24,Referral,Tablet,Metro,1,0,1367,0
42,Email,Desktop,Rural,15,1,929,5
21,Referral,Desktop,Urban,5,0,1072,0
53,Email,Desktop,Urban,0,0,1490,0
23,Email,Desktop,Rural,0,0,549,5
48,Ads,Desktop,Metro,11,0,219,15
36,Email,Tablet,Rural,4,1,1432,5
56,Email,Tablet,Metro,20,1,733,5
44,Social,Mobile,Rural,13,0,311,5
27,Referral,Desktop,Rural,0,0,383,5
43,Email,Mobile,Urban,11,1,1377,0
36,Referral,Tablet,Urban,2,0,1653,0
56,Email,Mobile,Urban,5,0,1386,0
20,Ads,Tablet,Rural,9,0,376,15
30,Social,Desktop,Urban,20,0,1164,5
45,Email,Mobile,Urban,6,0,1546,0
37,Referral,Mobile,Rural,16,0,1068,5
45,Ads,Mobile,Urban,15,0,1632,15
25,Referral,Mobile,Metro,5,1,1487,0
58,Ads,Desktop,Urban,6,1,1005,15
56,Social,Tablet,Metro,12,1,642,0
18,Ads,Tablet,Urban,0,0,1933,15
20,Referral,Desktop,Rural,22,0,560,5
30,Referral,Tablet,Rural,14,1,552,5
45,Email,Mobile,Urban,2,1,1438,0
42,Ads,Desktop,Metro,39,0,1753,5
50,Referral,Tablet,Urban,1,0,459,0
55,Email,Desktop,Rural,24,0,1357,5
23,Social,Desktop,Urban,3,0,1033,0
49,Referral,Tablet,Rural,14,0,1166,5
38,Email,Tablet,Metro,6,1,1351,0
33,Referral,Desktop,Metro,13,0,745,0
38,Ads,Desktop,Rural,1,0,1456,15
28,Email,Tablet,Metro,3,1,768,0
54,Ads,Desktop,Rural,1,0,1615,15
53,Social,Tablet,Rural,20,1,305,10
52,Ads,Desktop,Rural,3,0,188,15
36,Email,Desktop,Urban,11,1,1035,0
